Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR12223714_SRP271933_Undaria_pinnatifida_individual_32_2017-12-19_NAT_Kr_Tongyeong_1_South_Korea_2_P	SRR12223714_SRP271933_Undaria_pinnatifida_individual_32_2017-12-19_NAT_Kr_Tongyeong_1_South_Korea_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	85182300.0	0.0	50-101	47.0	87.41731460054112	95.84970217991297	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223715_SRP271933_Undaria_pinnatifida_individual_31_2017-04-04_CUL_Kr_Wando2017_6_South_Korea_1_P	SRR12223715_SRP271933_Undaria_pinnatifida_individual_31_2017-04-04_CUL_Kr_Wando2017_6_South_Korea_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	81804068.0	0.0	50-101	47.0	77.12350595898992	95.51085232093837	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223715_SRP271933_Undaria_pinnatifida_individual_31_2017-04-04_CUL_Kr_Wando2017_6_South_Korea_2_P	SRR12223715_SRP271933_Undaria_pinnatifida_individual_31_2017-04-04_CUL_Kr_Wando2017_6_South_Korea_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	81804068.0	0.0	50-101	47.0	75.92440431619856	96.49915094686978	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223716_SRP271933_Undaria_pinnatifida_individual_4_2016-04-19_INTRO_Fr_Roscoff_4_France_1_P	SRR12223716_SRP271933_Undaria_pinnatifida_individual_4_2016-04-19_INTRO_Fr_Roscoff_4_France_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	79667515.0	0.0	50-101	47.0	84.55451294727261	98.23404231950752	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223716_SRP271933_Undaria_pinnatifida_individual_4_2016-04-19_INTRO_Fr_Roscoff_4_France_2_P	SRR12223716_SRP271933_Undaria_pinnatifida_individual_4_2016-04-19_INTRO_Fr_Roscoff_4_France_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	79667515.0	0.0	50-101	47.0	84.89079412150281	96.93747856952737	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223717_SRP271933_Undaria_pinnatifida_individual_30_2017-04-04_CUL_Kr_Wando2017_5_South_Korea_1_P	SRR12223717_SRP271933_Undaria_pinnatifida_individual_30_2017-04-04_CUL_Kr_Wando2017_5_South_Korea_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	66901662.0	0.0	50-101	47.0	75.53548648860405	96.53930424030422	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223717_SRP271933_Undaria_pinnatifida_individual_30_2017-04-04_CUL_Kr_Wando2017_5_South_Korea_2_P	SRR12223717_SRP271933_Undaria_pinnatifida_individual_30_2017-04-04_CUL_Kr_Wando2017_5_South_Korea_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	66901662.0	0.0	50-101	47.0	76.98668207852381	95.34583965940936	pass	pass	warn	pass	pass	pass	pass	warn	pass	warn	pass
SRR12223718_SRP271933_Undaria_pinnatifida_individual_29_2017-04-04_CUL_Kr_Wando2017_4_South_Korea_1_P	SRR12223718_SRP271933_Undaria_pinnatifida_individual_29_2017-04-04_CUL_Kr_Wando2017_4_South_Korea_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	83148832.0	0.0	50-101	47.0	77.49776440409542	94.98918481500738	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223718_SRP271933_Undaria_pinnatifida_individual_29_2017-04-04_CUL_Kr_Wando2017_4_South_Korea_2_P	SRR12223718_SRP271933_Undaria_pinnatifida_individual_29_2017-04-04_CUL_Kr_Wando2017_4_South_Korea_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	83148832.0	0.0	50-101	47.0	77.25309075237492	95.66609327717315	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223719_SRP271933_Undaria_pinnatifida_individual_28_2017-04-04_CUL_Kr_Wando2017_3_South_Korea_1_P	SRR12223719_SRP271933_Undaria_pinnatifida_individual_28_2017-04-04_CUL_Kr_Wando2017_3_South_Korea_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	76597037.0	0.0	50-101	48.0	78.52596378085413	95.11932588201813	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223719_SRP271933_Undaria_pinnatifida_individual_28_2017-04-04_CUL_Kr_Wando2017_3_South_Korea_2_P	SRR12223719_SRP271933_Undaria_pinnatifida_individual_28_2017-04-04_CUL_Kr_Wando2017_3_South_Korea_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	76597037.0	0.0	50-101	47.0	78.23945263950503	95.58770290292038	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223720_SRP271933_Undaria_pinnatifida_individual_27_2017-04-04_CUL_Kr_Wando2017_2_South_Korea_1_P	SRR12223720_SRP271933_Undaria_pinnatifida_individual_27_2017-04-04_CUL_Kr_Wando2017_2_South_Korea_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	84809544.0	0.0	50-101	47.0	80.57154791557984	94.37559018121829	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223720_SRP271933_Undaria_pinnatifida_individual_27_2017-04-04_CUL_Kr_Wando2017_2_South_Korea_2_P	SRR12223720_SRP271933_Undaria_pinnatifida_individual_27_2017-04-04_CUL_Kr_Wando2017_2_South_Korea_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	84809544.0	0.0	50-101	47.0	79.81075944944969	94.30317135062063	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223721_SRP271933_Undaria_pinnatifida_individual_26_2017-04-04_CUL_Kr_Wando2017_1_South_Korea_1_P	SRR12223721_SRP271933_Undaria_pinnatifida_individual_26_2017-04-04_CUL_Kr_Wando2017_1_South_Korea_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73901781.0	0.0	50-101	47.0	76.32417822645986	94.60248028393254	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223721_SRP271933_Undaria_pinnatifida_individual_26_2017-04-04_CUL_Kr_Wando2017_1_South_Korea_2_P	SRR12223721_SRP271933_Undaria_pinnatifida_individual_26_2017-04-04_CUL_Kr_Wando2017_1_South_Korea_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73901781.0	0.0	50-101	47.0	75.92122158902745	94.32459666973385	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223722_SRP271933_Undaria_pinnatifida_individual_25_2015-01-23_CUL_Kr_Wando2015_4_South_Korea_1_P	SRR12223722_SRP271933_Undaria_pinnatifida_individual_25_2015-01-23_CUL_Kr_Wando2015_4_South_Korea_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74673328.0	0.0	50-101	46.0	80.47572418792916	97.1826079587614	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223722_SRP271933_Undaria_pinnatifida_individual_25_2015-01-23_CUL_Kr_Wando2015_4_South_Korea_2_P	SRR12223722_SRP271933_Undaria_pinnatifida_individual_25_2015-01-23_CUL_Kr_Wando2015_4_South_Korea_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74673328.0	0.0	50-101	46.0	80.5550679809042	95.83492105775706	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223723_SRP271933_Undaria_pinnatifida_individual_24_2015-01-23_CUL_Kr_Wando2015_3_South_Korea_1_P	SRR12223723_SRP271933_Undaria_pinnatifida_individual_24_2015-01-23_CUL_Kr_Wando2015_3_South_Korea_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	79334066.0	0.0	50-101	47.0	85.11487080076769	98.49924228010701	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223723_SRP271933_Undaria_pinnatifida_individual_24_2015-01-23_CUL_Kr_Wando2015_3_South_Korea_2_P	SRR12223723_SRP271933_Undaria_pinnatifida_individual_24_2015-01-23_CUL_Kr_Wando2015_3_South_Korea_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	79334066.0	0.0	50-101	47.0	85.49059232580855	97.00094778956621	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223724_SRP271933_Undaria_pinnatifida_individual_23_2015-01-23_CUL_Kr_Wando2015_2_South_Korea_1_P	SRR12223724_SRP271933_Undaria_pinnatifida_individual_23_2015-01-23_CUL_Kr_Wando2015_2_South_Korea_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	77695129.0	0.0	50-101	47.0	85.31530946683968	97.31067513897814	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223724_SRP271933_Undaria_pinnatifida_individual_23_2015-01-23_CUL_Kr_Wando2015_2_South_Korea_2_P	SRR12223724_SRP271933_Undaria_pinnatifida_individual_23_2015-01-23_CUL_Kr_Wando2015_2_South_Korea_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	77695129.0	0.0	50-101	47.0	85.28608642113572	96.26150130981827	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223725_SRP271933_Undaria_pinnatifida_individual_22_2015-01-23_CUL_Kr_Wando2015_1_South_Korea_1_P	SRR12223725_SRP271933_Undaria_pinnatifida_individual_22_2015-01-23_CUL_Kr_Wando2015_1_South_Korea_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	87001570.0	0.0	50-101	47.0	83.72259682466239	97.42333107322087	pass	pass	warn	pass	warn	pass	pass	warn	pass	pass	pass
SRR12223725_SRP271933_Undaria_pinnatifida_individual_22_2015-01-23_CUL_Kr_Wando2015_1_South_Korea_2_P	SRR12223725_SRP271933_Undaria_pinnatifida_individual_22_2015-01-23_CUL_Kr_Wando2015_1_South_Korea_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	87001570.0	0.0	50-101	46.0	83.40239753763097	96.68858872316902	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	pass
SRR12223726_SRP271933_Undaria_pinnatifida_individual_21_2017-01-09_INTRO_NZ_Well2017_7_New_Zealand_1_P	SRR12223726_SRP271933_Undaria_pinnatifida_individual_21_2017-01-09_INTRO_NZ_Well2017_7_New_Zealand_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	77695656.0	0.0	50-101	48.0	69.5681030462336	97.16668651333609	pass	pass	warn	pass	pass	pass	pass	warn	warn	warn	pass
SRR12223726_SRP271933_Undaria_pinnatifida_individual_21_2017-01-09_INTRO_NZ_Well2017_7_New_Zealand_2_P	SRR12223726_SRP271933_Undaria_pinnatifida_individual_21_2017-01-09_INTRO_NZ_Well2017_7_New_Zealand_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	77695656.0	0.0	50-101	48.0	69.91770554472582	96.73518249205593	pass	pass	warn	pass	pass	pass	pass	warn	warn	warn	pass
SRR12223727_SRP271933_Undaria_pinnatifida_individual_3_2016-04-19_INTRO_Fr_Roscoff_3_France_1_P	SRR12223727_SRP271933_Undaria_pinnatifida_individual_3_2016-04-19_INTRO_Fr_Roscoff_3_France_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	88713854.0	0.0	50-101	48.0	86.74188485459999	98.41006573787224	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223727_SRP271933_Undaria_pinnatifida_individual_3_2016-04-19_INTRO_Fr_Roscoff_3_France_2_P	SRR12223727_SRP271933_Undaria_pinnatifida_individual_3_2016-04-19_INTRO_Fr_Roscoff_3_France_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	88713854.0	0.0	50-101	48.0	86.98795491886895	97.58096301396172	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223728_SRP271933_Undaria_pinnatifida_individual_20_2017-01-09_INTRO_NZ_Well2017_6_New_Zealand_1_P	SRR12223728_SRP271933_Undaria_pinnatifida_individual_20_2017-01-09_INTRO_NZ_Well2017_6_New_Zealand_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	92493604.0	0.0	50-101	47.0	78.25814288101701	97.30368610136546	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223728_SRP271933_Undaria_pinnatifida_individual_20_2017-01-09_INTRO_NZ_Well2017_6_New_Zealand_2_P	SRR12223728_SRP271933_Undaria_pinnatifida_individual_20_2017-01-09_INTRO_NZ_Well2017_6_New_Zealand_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	92493604.0	0.0	50-101	47.0	78.42582233050246	96.17469750665138	pass	pass	pass	pass	pass	pass	pass	warn	pass	warn	pass
SRR12223729_SRP271933_Undaria_pinnatifida_individual_19_2017-01-09_INTRO_NZ_Well2017_5_New_Zealand_1_P	SRR12223729_SRP271933_Undaria_pinnatifida_individual_19_2017-01-09_INTRO_NZ_Well2017_5_New_Zealand_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	96438520.0	0.0	50-101	48.0	77.9286097893851	97.98968047207693	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223729_SRP271933_Undaria_pinnatifida_individual_19_2017-01-09_INTRO_NZ_Well2017_5_New_Zealand_2_P	SRR12223729_SRP271933_Undaria_pinnatifida_individual_19_2017-01-09_INTRO_NZ_Well2017_5_New_Zealand_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	96438520.0	0.0	50-101	48.0	78.00945856826766	97.3877392560566	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
